itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Antiquated Dress,14,14,14,14,33,6,19,0,1
Antiquated Dress +1,15.1,15.1,15.1,15.1,35.6,6.5,20.5,0,1
Antiquated Dress +2,16.7,16.7,16.7,16.7,39.3,7.1,22.6,0,1
Antiquated Dress +3,18.1,18.1,18.1,18.1,42.6,7.7,24.5,0,1
Antiquated Dress +4,19.5,19.5,19.5,19.5,45.9,8.3,26.4,0,1
Antiquated Dress +5,21.7,21.7,21.7,21.7,51.1,9.3,29.4,0,1
Armor of the Glorious,47,44.6,54.1,47,31,34,25,20,13.3
Armor of the Sun,35,35,35,34.3,21,21,19,16,9
Armor of the Sun +1,38.5,38.5,38.5,37.7,23.1,23.1,20.9,16,9
Armor of the Sun +10,84.7,84.7,84.7,83,50.8,50.8,46,16,9
Armor of the Sun +2,42,42,42,41.2,25.2,25.2,22.8,16,9
Armor of the Sun +3,45.5,45.5,45.5,44.6,27.3,27.3,24.7,16,9
Armor of the Sun +4,50,50,50,49,30,30,27.2,16,9
Armor of the Sun +5,54.6,54.6,54.6,53.5,32.8,32.8,29.6,16,9
Armor of the Sun +6,59.2,59.2,59.2,58,35.5,35.5,32.1,16,9
Armor of the Sun +7,64.7,64.7,64.7,63.5,38.9,38.9,35.2,16,9
Armor of the Sun +8,70.3,70.3,70.3,68.9,42.2,42.2,38.2,16,9
Armor of the Sun +9,76,76,76,74.4,45.6,45.6,41.2,16,9
Armor of Thorns,45,42.7,49.1,45,28,33,20,16,10.5
Armor of Thorns +1,48.6,46.2,53,48.6,30.2,35.6,21.6,16,10.5
Armor of Thorns +2,53.6,50.9,58.4,53.6,33.3,39.3,23.8,16,10.5
Armor of Thorns +3,58,55.1,63.3,58,36.1,42.6,25.8,16,10.5
Armor of Thorns +4,62.5,59.4,68.2,62.5,38.9,45.9,27.8,16,10.5
Armor of Thorns +5,69.7,66.3,76,69.7,43.4,51.1,31,16,10.5
Balder Armor,37,36.3,45.1,35.5,15,18,15,16,10.9
Balder Armor +1,40.7,39.9,49.7,39.1,16.5,19.8,16.5,16,10.9
Balder Armor +10,89.5,87.7,109.2,86,36.3,43.6,36.3,16,10.9
Balder Armor +2,44.4,43.5,54.2,42.6,18,21.6,18,16,10.9
Balder Armor +3,48.1,47.1,58.7,46.2,19.5,23.4,19.5,16,10.9
Balder Armor +4,52.9,51.9,64.6,50.8,21.4,25.7,21.4,16,10.9
Balder Armor +5,57.7,56.6,70.4,55.4,23.4,28.1,23.4,16,10.9
Balder Armor +6,62.5,61.3,76.3,60,25.4,30.4,25.4,16,10.9
Balder Armor +7,68.5,67.1,83.5,65.7,27.7,33.3,27.7,16,10.9
Balder Armor +8,74.4,72.9,90.7,71.4,30.1,36.2,30.1,16,10.9
Balder Armor +9,80.3,78.7,98,77.1,32.6,39.1,32.6,16,10.9
Black Cleric Robe,23,25.1,23,23,29,25,19,0,3.9
Black Cleric Robe +1,24.8,27.1,24.8,24.8,31.3,27,20.5,0,3.9
Black Cleric Robe +2,27.4,29.8,27.4,27.4,34.5,29.8,22.6,0,3.9
Black Cleric Robe +3,29.7,32.3,29.7,29.7,37.4,32.2,24.5,0,3.9
Black Cleric Robe +4,32,34.8,32,32,40.3,34.7,26.4,0,3.9
Black Cleric Robe +5,35.6,38.9,35.6,35.6,44.9,38.7,29.4,0,3.9
Black Iron Armor,68,64.6,78.2,68,30,51,21,31,15.6
Black Iron Armor +1,73.4,69.8,84.5,73.4,32.4,55.1,22.7,31,15.6
