itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Antiquated Gloves,8,8,8,8,19,3,11,0,0.6
Antiquated Gloves +1,8.6,8.6,8.6,8.6,20.5,3.2,11.9,0,0.6
Antiquated Gloves +2,9.5,9.5,9.5,9.5,22.6,3.6,13.1,0,0.6
Antiquated Gloves +3,10.3,10.3,10.3,10.3,24.5,3.9,14.2,0,0.6
Antiquated Gloves +4,11.1,11.1,11.1,11.1,26.4,4.2,15.3,0,0.6
Antiquated Gloves +5,12.4,12.4,12.4,12.4,29.4,4.6,17,0,0.6
Balder Gauntlets,17,16.7,20.7,16.3,7,8,5,5,3.5
Balder Gauntlets +1,18.7,18.3,22.8,18,7.7,8.8,5.5,5,3.5
Balder Gauntlets +10,41.1,40.3,50.2,39.5,16.9,19.4,12.1,5,3.5
Balder Gauntlets +2,20.4,20,24.9,19.6,8.4,9.6,6,5,3.5
Balder Gauntlets +3,22.1,21.7,27,21.2,9.1,10.4,6.5,5,3.5
Balder Gauntlets +4,24.3,23.8,29.7,23.3,10,11.4,7.1,5,3.5
Balder Gauntlets +5,26.5,26,32.4,25.5,10.9,12.5,7.8,5,3.5
Balder Gauntlets +6,28.7,28.2,35.1,27.6,11.8,13.5,8.5,5,3.5
Balder Gauntlets +7,31.5,30.8,38.4,30.2,12.9,14.8,9.2,5,3.5
Balder Gauntlets +8,34.2,33.5,41.7,32.8,14.1,16.1,10.1,5,3.5
Balder Gauntlets +9,36.9,36.2,45,35.4,15.2,17.4,10.9,5,3.5
Black Iron Gauntlets,40,38,46,40,17,30,13,18,9.2
Black Iron Gauntlets +1,43.2,41,49.7,43.2,18.4,32.4,14,18,9.2
Black Iron Gauntlets +2,47.6,45.2,54.7,47.6,20.2,35.7,15.5,18,9.2
Black Iron Gauntlets +3,51.6,49,59.3,51.6,21.9,38.7,16.8,18,9.2
Black Iron Gauntlets +4,55.6,52.8,63.9,55.6,23.6,41.7,18.1,18,9.2
Black Iron Gauntlets +5,62,58.9,71.3,62,26.4,46.5,20.2,18,9.2
Black Knight Gauntlets,26,24.7,29.4,25.5,14,23,8,10,6
Black Knight Gauntlets +1,28.1,26.7,31.7,27.5,15.1,24.8,8.6,10,6
Black Knight Gauntlets +2,30.9,29.4,35,30.3,16.7,27.4,9.5,10,6
Black Knight Gauntlets +3,33.5,31.9,37.9,32.9,18.1,29.7,10.3,10,6
Black Knight Gauntlets +4,36.1,34.3,40.8,35.4,19.5,32,11.1,10,6
Black Knight Gauntlets +5,40.3,38.3,45.5,39.5,21.7,35.6,12.4,10,6
Black Leather Gloves,13,13.9,13,13,12,8,9,0,1.8
Black Leather Gloves +1,14.3,15.3,14.3,14.3,13.2,8.8,9.9,0,1.8
Black Leather Gloves +10,31.5,33.7,31.5,31.5,29,19.4,21.8,0,1.8
Black Leather Gloves +2,15.6,16.7,15.6,15.6,14.4,9.6,10.8,0,1.8
Black Leather Gloves +3,16.9,18.1,16.9,16.9,15.6,10.4,11.7,0,1.8
Black Leather Gloves +4,18.6,19.9,18.6,18.6,17.2,11.4,12.9,0,1.8
Black Leather Gloves +5,20.3,21.7,20.3,20.3,18.7,12.5,14,0,1.8
Black Leather Gloves +6,22,23.5,22,22,20.3,13.5,15.2,0,1.8
Black Leather Gloves +7,24.1,25.7,24.1,24.1,22.2,14.8,16.6,0,1.8
Black Leather Gloves +8,26.1,28,26.1,26.1,24.1,16.1,18.1,0,1.8
Black Leather Gloves +9,28.2,30.2,28.2,28.2,26,17.4,19.5,0,1.8
Black Manchette,11,12,11,11,14,11,9,0,1.8
Black Manchette +1,11.9,12.9,11.9,11.9,15.1,11.9,9.7,0,1.8
Black Manchette +2,13.1,14.3,13.1,13.1,16.7,13.1,10.7,0,1.8
Black Manchette +3,14.2,15.5,14.2,14.2,18.1,14.2,11.6,0,1.8
Black Manchette +4,15.3,16.7,15.3,15.3,19.5,15.3,12.5,0,1.8
Black Manchette +5,17,18.6,17,17,21.7,17,13.9,0,1.8
Black Sorcerer Gauntlets,8,8.2,8.7,8,17,12,12,0,1
Black Sorcerer Gauntlets +1,8.8,9.1,9.6,8.8,18.7,13.2,13.2,0,1
Black Sorcerer Gauntlets +10,19.4,19.9,21.1,19.4,41.1,29,29,0,1
Black Sorcerer Gauntlets +2,9.6,9.9,10.5,9.6,20.4,14.4,14.4,0,1
Black Sorcerer Gauntlets +3,10.4,10.7,11.3,10.4,22.1,15.6,15.6,0,1
Black Sorcerer Gauntlets +4,11.4,11.8,12.5,11.4,24.3,17.2,17.2,0,1
Black Sorcerer Gauntlets +5,12.5,12.9,13.6,12.5,26.5,18.7,18.7,0,1
Black Sorcerer Gauntlets +6,13.5,13.9,14.7,13.5,28.7,20.3,20.3,0,1
Black Sorcerer Gauntlets +7,14.8,15.2,16.1,14.8,31.5,22.2,22.2,0,1
Black Sorcerer Gauntlets +8,16.1,16.6,17.5,16.1,34.2,24.1,24.1,0,1
Black Sorcerer Gauntlets +9,17.4,17.9,18.9,17.4,36.9,26,26,0,1
Brass Gauntlets,24,23,27.1,24,14,12,12,8,5.4
Brass Gauntlets +1,25.9,24.9,29.3,25.9,15.1,13,13,8,5.4
Brass Gauntlets +2,28.6,27.4,32.3,28.6,16.7,14.3,14.3,8,5.4
Brass Gauntlets +3,31,29.7,35,31,18.1,15.5,15.5,8,5.4
Brass Gauntlets +4,33.4,32,37.7,33.4,19.5,16.7,16.7,8,5.4
Brass Gauntlets +5,37.2,35.7,42,37.2,21.7,18.6,18.6,8,5.4
Brigand Gauntlets,14,15.4,14,12.6,12,8,10,0,1.8
Brigand Gauntlets +1,15.4,16.9,15.4,13.9,13.2,8.8,11,0,1.8
Brigand Gauntlets +10,33.9,37.3,33.9,30.5,29,19.4,24.2,0,1.8
Brigand Gauntlets +2,16.8,18.5,16.8,15.1,14.4,9.6,12,0,1.8
Brigand Gauntlets +3,18.2,20,18.2,16.4,15.6,10.4,13,0,1.8
Brigand Gauntlets +4,20,22,20,18,17.2,11.4,14.3,0,1.8
Brigand Gauntlets +5,21.8,24,21.8,19.7,18.7,12.5,15.6,0,1.8
Brigand Gauntlets +6,23.7,26,23.7,21.3,20.3,13.5,16.9,0,1.8
Brigand Gauntlets +7,25.9,28.5,25.9,23.3,22.2,14.8,18.5,0,1.8
Brigand Gauntlets +8,28.1,31,28.1,25.3,24.1,16.1,20.1,0,1.8
Brigand Gauntlets +9,30.4,33.4,30.4,27.3,26,17.4,21.7,0,1.8
Catarina Gauntlets,34,33.7,39.1,34,18,21,12,13,6.9
Catarina Gauntlets +1,36.7,36.4,42.2,36.7,19.4,22.7,13,13,6.9
Catarina Gauntlets +2,40.5,40.1,46.5,40.5,21.4,25,14.3,13,6.9
Catarina Gauntlets +3,43.9,43.4,50.4,43.9,23.2,27.1,15.5,13,6.9
Catarina Gauntlets +4,47.3,46.8,54.3,47.3,25,29.2,16.7,13,6.9
Catarina Gauntlets +5,52.7,52.2,60.6,52.7,27.9,32.6,18.6,13,6.9
Cleric Gauntlets,24,24,27.6,24,13,12,9,12,7.4
Cleric Gauntlets +1,26.4,26.4,30.4,26.4,14.3,13.2,9.9,12,7.4
Cleric Gauntlets +10,58.1,58.1,66.8,58.1,31.5,29,21.8,12,7.4
Cleric Gauntlets +2,28.8,28.8,33.1,28.8,15.6,14.4,10.8,12,7.4
Cleric Gauntlets +3,31.2,31.2,35.9,31.2,16.9,15.6,11.7,12,7.4
Cleric Gauntlets +4,34.3,34.3,39.5,34.3,18.6,17.2,12.9,12,7.4
Cleric Gauntlets +5,37.4,37.4,43.1,37.4,20.3,18.7,14,12,7.4
Cleric Gauntlets +6,40.6,40.6,46.6,40.6,22,20.3,15.2,12,7.4
Cleric Gauntlets +7,44.4,44.4,51.1,44.4,24.1,22.2,16.6,12,7.4
Cleric Gauntlets +8,48.2,48.2,55.5,48.2,26.1,24.1,18.1,12,7.4
Cleric Gauntlets +9,52.1,52.1,59.9,52.1,28.2,26,19.5,12,7.4
Crimson Gloves,7,7.7,7,7,7,4,5,0,0.8
Crimson Gloves +1,7.6,8.3,7.6,7.6,7.6,4.3,5.4,0,0.8
Crimson Gloves +2,8.3,9.2,8.3,8.3,8.3,4.8,6,0,0.8
