itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
None,0,0,0,0,0,0,0,0,0
Anklet of the Great Lord,15,16.2,17.3,13.8,15,19,19,0,2.8
Antiquated Skirt,15,15,15,15,35,17,21,0,3
Antiquated Skirt +1,16.2,16.2,16.2,16.2,37.8,18.4,22.7,0,3
Antiquated Skirt +2,17.9,17.9,17.9,17.9,41.7,20.2,25,0,3
Antiquated Skirt +3,19.3,19.3,19.3,19.3,45.1,21.9,27.1,0,3
Antiquated Skirt +4,20.9,20.9,20.9,20.9,48.6,23.6,29.2,0,3
Antiquated Skirt +5,23.2,23.2,23.2,23.2,54.2,26.3,32.5,0,3
Balder Leggings,22,21.6,26.8,21.1,10,12,9,9,6.4
Balder Leggings +1,24.2,23.7,29.5,23.2,11,13.2,9.9,9,6.4
Balder Leggings +10,53.2,52.2,65,51.1,24.2,29,21.8,9,6.4
Balder Leggings +2,26.4,25.9,32.2,25.3,12,14.4,10.8,9,6.4
Balder Leggings +3,28.6,28,34.9,27.5,13,15.6,11.7,9,6.4
Balder Leggings +4,31.5,30.8,38.4,30.2,14.3,17.2,12.9,9,6.4
Balder Leggings +5,34.3,33.6,41.9,32.9,15.6,18.7,14,9,6.4
Balder Leggings +6,37.2,36.4,45.4,35.7,16.9,20.3,15.2,9,6.4
Balder Leggings +7,40.7,39.9,49.7,39.1,18.5,22.2,16.6,9,6.4
Balder Leggings +8,44.2,43.3,53.9,42.5,20.1,24.1,18.1,9,6.4
Balder Leggings +9,47.7,46.8,58.2,45.8,21.7,26,19.5,9,6.4
Black Iron Leggings,40,38,46,40,17,30,13,18,9.2
Black Iron Leggings +1,43.2,41,49.7,43.2,18.4,32.4,14,18,9.2
Black Iron Leggings +2,47.6,45.2,54.7,47.6,20.2,35.7,15.5,18,9.2
Black Iron Leggings +3,51.6,49,59.3,51.6,21.9,38.7,16.8,18,9.2
Black Iron Leggings +4,55.6,52.8,63.9,55.6,23.6,41.7,18.1,18,9.2
Black Iron Leggings +5,62,58.9,71.3,62,26.4,46.5,20.2,18,9.2
Black Knight Leggings,30,28.5,33.9,29.4,15,26,9,11,7
Black Knight Leggings +1,32.4,30.8,36.6,31.8,16.2,28.1,9.7,11,7
Black Knight Leggings +2,35.7,33.9,40.3,35,17.9,30.9,10.7,11,7
Black Knight Leggings +3,38.7,36.8,43.7,37.9,19.3,33.5,11.6,11,7
Black Knight Leggings +4,41.7,39.6,47.1,40.9,20.9,36.1,12.5,11,7
Black Knight Leggings +5,46.5,44.2,52.5,45.6,23.2,40.3,13.9,11,7
Black Leather Boots,12,12.8,12,12,19,13,15,0,3
Black Leather Boots +1,13.2,14.1,13.2,13.2,20.9,14.3,16.5,0,3
Black Leather Boots +10,29,31.1,29,29,46,31.5,36.3,0,3
Black Leather Boots +2,14.4,15.4,14.4,14.4,22.8,15.6,18,0,3
Black Leather Boots +3,15.6,16.7,15.6,15.6,24.7,16.9,19.5,0,3
Black Leather Boots +4,17.2,18.4,17.2,17.2,27.2,18.6,21.4,0,3
Black Leather Boots +5,18.7,20,18.7,18.7,29.6,20.3,23.4,0,3
Black Leather Boots +6,20.3,21.7,20.3,20.3,32.1,22,25.4,0,3
Black Leather Boots +7,22.2,23.8,22.2,22.2,35.2,24.1,27.7,0,3
Black Leather Boots +8,24.1,25.8,24.1,24.1,38.2,26.1,30.1,0,3
Black Leather Boots +9,26,27.9,26,26,41.2,28.2,32.6,0,3
Black Sorcerer Boots,8,8.2,8.7,8,17,12,12,0,1
Black Sorcerer Boots +1,8.8,9.1,9.6,8.8,18.7,13.2,13.2,0,1
Black Sorcerer Boots +10,19.4,19.9,21.1,19.4,41.1,29,29,0,1
Black Sorcerer Boots +2,9.6,9.9,10.5,9.6,20.4,14.4,14.4,0,1
Black Sorcerer Boots +3,10.4,10.7,11.3,10.4,22.1,15.6,15.6,0,1
Black Sorcerer Boots +4,11.4,11.8,12.5,11.4,24.3,17.2,17.2,0,1
Black Sorcerer Boots +5,12.5,12.9,13.6,12.5,26.5,18.7,18.7,0,1
Black Sorcerer Boots +6,13.5,13.9,14.7,13.5,28.7,20.3,20.3,0,1
Black Sorcerer Boots +7,14.8,15.2,16.1,14.8,31.5,22.2,22.2,0,1
Black Sorcerer Boots +8,16.1,16.6,17.5,16.1,34.2,24.1,24.1,0,1
Black Sorcerer Boots +9,17.4,17.9,18.9,17.4,36.9,26,26,0,1
Black Tights,16,17.4,16,16,22,17,13,0,2.8
Black Tights +1,17.3,18.8,17.3,17.3,23.8,18.4,14,0,2.8
Black Tights +2,19,20.8,19,19,26.2,20.2,15.5,0,2.8
Black Tights +3,20.6,22.5,20.6,20.6,28.4,21.9,16.8,0,2.8
Black Tights +4,22.2,24.2,22.2,22.2,30.6,23.6,18.1,0,2.8
Black Tights +5,24.8,27,24.8,24.8,34.1,26.3,20.1,0,2.8
Blood-Stained Skirt,13,16.2,13,13,27,16,21,0,2.5
Blood-Stained Skirt +1,14.3,17.9,14.3,14.3,29.7,17.6,23.1,0,2.5
Blood-Stained Skirt +10,31.5,39.3,31.5,31.5,65.3,38.7,50.8,0,2.5
Blood-Stained Skirt +2,15.6,19.5,15.6,15.6,32.4,19.2,25.2,0,2.5
Blood-Stained Skirt +3,16.9,21.1,16.9,16.9,35.1,20.8,27.3,0,2.5
Blood-Stained Skirt +4,18.6,23.2,18.6,18.6,38.6,22.9,30,0,2.5
Blood-Stained Skirt +5,20.3,25.3,20.3,20.3,42.1,25,32.8,0,2.5
Blood-Stained Skirt +6,22,27.5,22,22,45.6,27,35.5,0,2.5
Blood-Stained Skirt +7,24.1,30.1,24.1,24.1,50,29.6,38.9,0,2.5
Blood-Stained Skirt +8,26.1,32.7,26.1,26.1,54.3,32.2,42.2,0,2.5
Blood-Stained Skirt +9,28.2,35.3,28.2,28.2,58.6,34.7,45.6,0,2.5
Boots of the Explorer,14,13.3,16.1,14,10,11,7,6,4
Brass Leggings,26,24,29.4,26,16,15,15,9,6.4
Brass Leggings +1,28.1,27,31.7,28.1,17.3,16.2,16.2,9,6.4
Brass Leggings +2,30.9,29.7,35,30.9,19,17.9,17.9,9,6.4
Brass Leggings +3,33.5,32.2,37.9,33.5,20.6,19.3,19.3,9,6.4
Brass Leggings +4,36.1,34.7,40.8,36.1,22.2,20.9,20.9,9,6.4
Brass Leggings +5,40.3,38.7,45.5,40.3,24.8,23.2,23.2,9,6.4
Brigand Trousers,14,15.4,14,12.6,12,8,10,0,1.8
Brigand Trousers +1,15.4,16.9,15.4,13.9,13.2,8.8,11,0,1.8
Brigand Trousers +10,33.9,37.3,33.9,30.5,29,19.4,24.2,0,1.8
Brigand Trousers +2,16.8,18.5,16.8,15.1,14.4,9.6,12,0,1.8
Brigand Trousers +3,18.2,20,18.2,16.4,15.6,10.4,13,0,1.8
Brigand Trousers +4,20,22,20,18,17.2,11.4,14.3,0,1.8
Brigand Trousers +5,21.8,24,21.8,19.7,18.7,12.5,15.6,0,1.8
Brigand Trousers +6,23.7,26,23.7,21.3,20.3,13.5,16.9,0,1.8
Brigand Trousers +7,25.9,28.5,25.9,23.3,22.2,14.8,18.5,0,1.8
Brigand Trousers +8,28.1,31,28.1,25.3,24.1,16.1,20.1,0,1.8
