itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Balder Helm,14,13.7,17.1,13.4,6,8,6,6,4.2
Balder Helm +1,15.4,15.1,18.8,14.8,6.6,8.8,6.6,6,4.2
Balder Helm +10,33.9,33.2,41.3,32.5,14.5,19.4,14.5,6,4.2
Balder Helm +2,16.8,16.5,20.5,16.1,7.2,9.6,7.2,6,4.2
Balder Helm +3,18.2,17.8,22.2,17.5,7.8,10.4,7.8,6,4.2
Balder Helm +4,20,19.6,24.4,19.2,8.6,11.4,8.6,6,4.2
Balder Helm +5,21.8,21.4,26.6,21,9.4,12.5,9.4,6,4.2
Balder Helm +6,23.7,23.2,28.9,22.7,10.1,13.5,10.1,6,4.2
Balder Helm +7,25.9,25.4,31.6,24.9,11.1,14.8,11.1,6,4.2
Balder Helm +8,28.1,27.6,34.3,27,12.1,16.1,12.1,6,4.2
Balder Helm +9,30.4,29.8,37.1,29.2,13,17.4,13,6,4.2
Big Hat,14,15.4,15.4,12.6,43,7,17,0,3
Big Hat +1,15.1,16.6,16.6,13.6,46.4,7.6,18.4,0,3
Big Hat +2,16.7,18.3,18.3,15,51.2,8.3,20.2,0,3
Big Hat +3,18.1,19.9,19.9,16.3,55.5,9,21.9,0,3
Big Hat +4,19.5,21.4,21.4,17.5,59.8,9.7,23.6,0,3
Big Hat +5,21.7,23.9,23.9,19.5,66.7,10.8,26.3,0,3
Black Iron Helm +1,29.2,27.7,33.5,29.2,11.9,20.5,8.6,12,6
Black Iron Helm +2,32.1,30.5,36.9,32.1,13.1,22.6,9.5,12,6
Black Iron Helm +3,34.8,33.1,40.1,34.8,14.2,24.5,10.3,12,6
Black Iron Helm +4,37.5,35.7,43.2,37.5,15.3,26.4,11.1,12,6
Black Iron Helm +5,41.9,39.8,48.1,41.9,17.1,29.5,12.4,12,6
Black Iron Helm,27,25.6,31,27,11,19,8,12,6
