itemName,PdefBonus,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,MdefDark,SdefPois,SdefBled,SdefPetr,SdefCrse,Special,Poise,Weight,Durability
None,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0
Agdayne's Black Robes,B,93,98,90,90,54,52,48,72,55,38,48,65,None,0,5.8,65
Alonne Captain Armor,A,162,153,171,162,34,53,23,34,17,38,0,0,None,38,15.6,90
Alonne Knight Armor,A,152,146,161,152,27,46,22,27,14,32,0,0,None,24,14.2,80
Alva Armor,A,89,85,90,88,25,27,19,26,26,35,0,0,None,15,8.8,80
Alva Armor +3,A,116,110,119,114,32,35,24,34,34,45,0,0,None,15,8.8,80
Alva Armor +6,A,143,136,147,140,39,43,29,42,42,55,0,0,None,15,8.8,80
Archdrake Robes,A,89,89,89,89,28,27,47,27,24,20,0,0,None,14,9.8,80
Astrologist Robe,U,60,63,58,58,44,30,30,37,19,19,0,0,None,0,5.1,50
Aurous Armor,B,76,82,72,74,30,25,32,28,20,24,0,0,Equipment Load +1.5%,0,3.2,40
Bandit Armor,B,67,66,69,64,20,21,17,20,14,21,0,0,None,5,6.2,60
Bellkeeper Armor,B,66,69,64,64,14,13,19,25,16,13,0,0,None,0,6,60
Benhart's Armor,A,104,100,108,104,24,23,21,24,27,21,0,0,None,18,10.5,72
Black Dragon Armor,A,125,121,127,125,45,98,47,45,57,80,65,65,None,0,4.8,225
Black Hollow Mage Robes,B,32,34,31,31,47,33,36,39,23,21,22,22,None,0,3.3,50
Black Leather Armor,B,65,68,64,64,31,24,23,26,38,26,0,0,None,0,3.9,55
Black Leather Armor +3,B,84,88,83,83,40,30,29,33,52,36,0,0,None,0,3.9,55
Black Leather Armor +6,B,104,108,102,102,49,37,36,41,60,41,0,0,None,0,3.9,55
Black Leather Armor +9,B,124,128,121,121,58,44,42,48,71,48,0,0,None,0,3.9,55
Black Leather Armor +10,B,131,135,128,128,62,47,45,51,75,51,0,0,None,0,3.9,55
Black Robes,B,67,72,64,64,73,49,49,49,30,26,39,35,None,0,2.6,55
Black Witch Cloak,B,97,105,94,94,90,72,84,87,32,39,43,43,None,0,4.8,55
Bone King Armor,B,71,77,68,68,45,50,41,63,36,23,28,45,None,0,3.8,65
