itemName,PdefBonus,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,MdefDark,SdefPois,SdefBled,SdefPetr,SdefCrse,Special,Poise,Weight,Durability
None,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0
Agdayne's Black Kilt,E,46,49,45,45,27,26,24,26,28,19,24,33,None,0,2.9,65
Alonne Captain Leggings,C,105,100,111,105,19,31,15,19,10,22,0,0,None,20,9.8,80
Alonne Knight Leggings,C,105,100,111,105,19,31,15,19,10,22,0,0,None,20,9.8,80
Alva Leggings,C,53,50,55,52,15,16,11,16,16,20,0,0,None,9,5.2,80
Alva Leggings +3,C,68,65,71,67,19,20,14,20,20,26,0,0,None,9,5.2,80
Alva Leggings +6,C,84,80,87,83,23,25,17,25,25,32,0,0,None,9,5.2,80
Archdrake Leggings,C,43,43,43,43,14,13,22,13,11,10,0,0,None,8,4.7,80
Astrologist Kilt,U,45,47,43,43,33,22,22,28,14,14,0,0,None,0,3.8,50
Aurous Invisible Leggings,E,48,51,45,46,19,15,20,17,13,15,0,0,Equipment Load +1.5%,0,2,40
Aurous Visible Leggings,C,70,68,74,71,25,24,17,26,20,25,0,0,None,10,5.8,80
Bandit Leggings,D,30,30,31,29,9,9,7,9,7,10,0,0,None,3,2.8,60
Bellkeeper Leggings,D,44,46,43,43,9,9,12,17,11,9,0,0,None,0,4,60
Benhart's Boots,C,64,62,67,64,15,14,13,15,17,13,0,0,None,11,6.5,72
Black Dragon Leggings,C,72,70,74,72,26,57,27,26,33,47,38,38,None,0,2.7,225
Black Leather Boots,E,37,38,36,36,18,13,13,15,21,15,0,0,None,0,2.2,55
Black Leather Boots +3,E,48,49,46,46,23,17,16,19,27,19,0,0,None,0,2.2,55
Black Leather Boots +6,E,59,60,57,57,28,21,20,23,35,24,0,0,None,0,2.2,55
Black Boots,E,52,55,49,49,56,38,38,38,23,20,30,27,None,0,2,55
Black Witch Kilt,E,34,37,33,33,32,25,30,31,11,14,15,15,None,0,1.7,55
Bone King Kilt,E,54,59,52,52,34,38,31,48,28,18,21,34,None,0,2.9,65
Brigand Trousers,E,33,36,32,31,16,13,12,14,13,13,0,0,None,0,1.8,60
Cale's Leggings,D,83,82,82,86,24,25,20,24,37,23,0,0,None,0,6.4,60
Catarina Leggings,U,88,88,102,88,19,21,13,19,0,0,0,0,None,0,6.9,63
Chaos Leggings,E,52,55,49,49,38,56,38,54,23,20,30,27,None,0,2,55
Creighton's Leggings,U,42,41,43,42,13,14,7,13,10,16,0,0,None,7,4.5,70
Dark Leggings,C,68,68,71,65,18,18,12,38,18,21,0,0,None,9,5.8,90
Desert Sorceress Skirt,U,40,42,39,39,37,26,31,34,14,9,26,12,None,0,2.4,50
Dragon Acolyte Boot,E,36,38,35,35,15,15,17,18,17,33,0,0,None,0,2.4,55
